Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
161,31442,species,African Pied Wagtail,Motacilla aguimp,3,Kruger NP--Gudzani Dam,ZA-MP,24 Jul 2024,L12057711,S188591060,,1
162,7198,species,African Openbill,Anastomus lamelligerus,2,Kruger NP--Gudzani Dam,ZA-MP,24 Jul 2024,L12057711,S188591060,,1
163,5530,species,Black Crake,Zapornia flavirostra,2,Kruger NP--Gudzani Dam,ZA-MP,24 Jul 2024,L12057711,S188591060,,1
164,31657,species,Yellow-throated Longclaw,Macronyx croceus,1,Kruger NP--S100,ZA-MP,24 Jul 2024,L3143582,S188590279,,1
165,27440,species,Yellow-billed Oxpecker,Buphagus africanus,2,Kruger NP--S100,ZA-MP,24 Jul 2024,L3143582,S188590279,,1
166,26430,species,Arrow-marked Babbler,Turdoides jardineii,4,Kruger NP--S100,ZA-MP,24 Jul 2024,L3143582,S188590279,,1
167,12663,species,Brown-headed Parrot,Poicephalus cryptoxanthus,1,Kruger NP--S100,ZA-MP,24 Jul 2024,L3143582,S188590279,,1
168,10189,species,Giant Kingfisher,Megaceryle maxima,1,Kruger NP--S100,ZA-MP,24 Jul 2024,L3143582,S188590279,,1
169,7846,species,Cape Griffon,Gyps coprotheres,1,Kruger NP--S100,ZA-MP,24 Jul 2024,L3143582,S188590279,,1
170,7218,species,Saddle-billed Stork,Ephippiorhynchus senegalensis,1,Kruger NP--S100,ZA-MP,24 Jul 2024,L3143582,S188590279,,1
171,3068,species,Burchell's Coucal,Centropus burchellii,1,Kruger NP--S100,ZA-MP,24 Jul 2024,L3143582,S188590279,,1
172,2509,species,African Green-Pigeon,Treron calvus,3,Kruger NP--S100,ZA-MP,24 Jul 2024,L3143582,S188590279,,1
173,1598,species,Crested Francolin,Ortygornis sephaena,2,Kruger NP--S100,ZA-MP,24 Jul 2024,L3143582,S188590279,,1
174,5945,species,African Jacana,Actophilornis africanus,1,"Orpen Satara Road, Bushbuckridge ZA-MP -24.39342, 31.71540",ZA-MP,23 Jul 2024,L35063281,S188420040,,1
